Country_Name,Country_Code,Time_Code,Time,Access_to_Clean_Fuels_and_Technologies_for_cooking_percent_of_total_population_[2.1_ACCESS.CFT.TOT],Access_to_electricity_percent_of_rural_population_with_access_[1.2_ACCESS.ELECTRICITY.RURAL],Access_to_electricity_percent_of_urban_population_with_access_[1.3_ACCESS.ELECTRICITY.URBAN],Energy_intensity_level_of_primary_energy_MJ/2011_USD_PPP_[6.1_PRIMARY.ENERGY.INTENSITY],Renewable_electricity_output_GWh_[4.1.2_REN.ELECTRICITY.OUTPUT],Renewable_electricity_share_of_total_electricity_output_percent_[4.1_SHARE.RE.IN.ELECTRICITY],Renewable_energy_share_of_TFEC_percent_[2.1_SHARE.TOTAL.RE.IN.TFEC],Total_electricity_output_GWh_[4.1.1_TOTAL.ELECTRICITY.OUTPUT]
Afghanistan,AFG,YR2005,0.333333333,0.128889336,0.12722804,0.682991812,0.0,0.00145608,0.74064878,0.423898283,0.000311998
Afghanistan,AFG,YR2006,0.4,0.142181049,0.122652142,0.756670519,0.0,0.00140183,0.707586811,0.385284767,0.000314545
Afghanistan,AFG,YR2007,0.466666667,0.154063035,0.186578769,0.778097375,0.0,0.00148429,0.720029824,0.351311311,0.000328005
Afghanistan,AFG,YR2008,0.533333333,0.16866378,0.322849342,0.876854511,0.0,0.001173978,0.686576662,0.221432812,0.000269073
Afghanistan,AFG,YR2009,0.6,0.182761051,0.316280044,0.821433036,0.021410644,0.001681762,0.87180214,0.184811934,0.000305814
Afghanistan,AFG,YR2010,0.666666667,0.201288893,0.321846156,0.790286891,0.037299437,0.001664402,0.859901089,0.153957314,0.000306906
Afghanistan,AFG,YR2011,0.733333333,0.217903534,0.331678487,0.836226,0.07745429,0.001798943,0.82490979,0.119128688,0.000348012
Afghanistan,AFG,YR2012,0.8,0.235525123,0.63684661,0.939036887,0.039505067,0.001905273,0.85913539,0.14497061,0.000354196
Afghanistan,AFG,YR2013,0.866666667,0.256570335,0.582911986,0.90949774,0.028010777,0.001744475,0.786396654,0.169462041,0.000354306
Afghanistan,AFG,YR2014,0.933333333,0.274896788,0.877611288,0.984149591,0.022418083,0.001942815,0.853270833,0.200378154,0.000364127
Afghanistan,AFG,YR2015,1.0,0.296143389,0.640859355,0.90855533,0.013568736,0.001930229,0.860536756,0.191136533,0.000358453
Albania,ALB,YR2000,0.0,0.39381734,1.0,1.0,0.124180049,0.00996905,0.96152999,0.429980344,0.001720537
Albania,ALB,YR2001,0.066666667,0.42301883,1.0,1.0,0.111282151,0.007714404,0.953122589,0.405913805,0.0013393
Albania,ALB,YR2002,0.133333333,0.448494613,1.0,1.0,0.123762912,0.007621094,0.939578779,0.372410329,0.00134221
